V1
CP003088.1 Burkholderia sp. YI23 chromosome 2 complete sequence
CP003089.1 Burkholderia sp. YI23 chromosome 3 complete sequence
CP003090.1 Burkholderia sp. YI23 plasmid byi_1p complete sequence
CP003091.1 Burkholderia sp. YI23 plasmid byi_2p complete sequence
CP003092.1 Burkholderia sp. YI23 plasmid byi_3p complete sequence
HG938370.1 Burkholderia cenocepacia H111 chromosome 1 complete genome
HG938371.2 Burkholderia cenocepacia H111 chromosome 2 complete genome
HG938372.1 Burkholderia cenocepacia H111 chromosome 3 complete genome
CP002833.1 Burkholderia pseudomallei 1026b chromosome 1 complete sequence
CP002834.1 Burkholderia pseudomallei 1026b chromosome 2 complete sequence
CP003514.1 Burkholderia sp. KJ006 chromosome 1 complete sequence
CP003515.1 Burkholderia sp. KJ006 chromosome 2 complete sequence
CP003516.1 Burkholderia sp. KJ006 chromosome 3 complete sequence
CP003517.1 Burkholderia sp. KJ006 plasmid pKJ006 complete sequence
CP003774.1 Burkholderia cepacia GG4 chromosome 1 complete sequence
CP003775.1 Burkholderia cepacia GG4 chromosome 2 complete sequence
CP003781.1 Burkholderia pseudomallei BPC006 chromosome I complete sequence
CP003782.1 Burkholderia pseudomallei BPC006 chromosome II complete sequence
CP004095.1 Burkholderia thailandensis MSMB121 chromosome 1 complete sequence
CP004096.1 Burkholderia thailandensis MSMB121 chromosome 2 complete sequence
AP013058.1 Burkholderia insecticola DNA chromosome 1 complete genome
AP013059.1 Burkholderia insecticola DNA chromosome 2 complete genome
AP013060.1 Burkholderia insecticola DNA chromosome 3 complete genome
AP013061.1 Burkholderia insecticola plasmid p1 DNA complete genome
AP013062.1 Burkholderia insecticola plasmid p2 DNA complete genome
CP006469.1 Burkholderia pseudomallei MSHR305 chromosome 2 complete sequence
CP006470.1 Burkholderia pseudomallei MSHR305 chromosome 1 complete sequence
CP003976.1 Burkholderia pseudomallei NCTC 13179 chromosome 1 complete sequence
CP003977.1 Burkholderia pseudomallei NCTC 13179 chromosome 2 complete sequence
CP004001.1 Burkholderia pseudomallei NCTC 13178 chromosome 1 complete sequence
CP004002.1 Burkholderia pseudomallei NCTC 13178 chromosome 2 complete sequence
CP004003.1 Burkholderia pseudomallei NAU20B-16 chromosome 1 complete sequence
CP004004.1 Burkholderia pseudomallei NAU20B-16 chromosome 2 complete sequence
CP004023.1 Burkholderia pseudomallei MSHR511 chromosome 1 complete sequence
CP004024.1 Burkholderia pseudomallei MSHR511 chromosome 2 complete sequence
CP004042.1 Burkholderia pseudomallei MSHR146 chromosome 1 complete sequence
CP004043.1 Burkholderia pseudomallei MSHR146 chromosome 2 complete sequence
CP004089.1 Burkholderia thailandensis H0587 chromosome 1 complete sequence
CP004090.1 Burkholderia thailandensis H0587 chromosome 2 complete sequence
CP004097.1 Burkholderia thailandensis 2002721723 chromosome 1 complete sequence
CP004098.1 Burkholderia thailandensis 2002721723 chromosome 2 complete sequence
CP004117.1 Burkholderia thailandensis E444 chromosome 1 complete sequence
CP004118.1 Burkholderia thailandensis E444 chromosome 2 complete sequence
CP004368.1 Burkholderia pseudomallei MSHR520 chromosome 1 complete sequence
CP004369.1 Burkholderia pseudomallei MSHR520 chromosome 2 complete sequence
CP013730.1 Burkholderia cepacia JBK9 chromosome 1 complete sequence
CP013731.1 Burkholderia cepacia JBK9 chromosome 2 complete sequence
CP013732.1 Burkholderia cepacia JBK9 chromosome 3 complete sequence
CP004383.1 Burkholderia thailandensis USAMRU Malaysia #20 chromosome 1 complete sequence
CP004384.1 Burkholderia thailandensis USAMRU Malaysia #20 chromosome 2 complete sequence
CP007783.1 Burkholderia cenocepacia strain DDS 22E-1 chromosome 1 complete sequence
CP007784.1 Burkholderia cenocepacia strain DDS 22E-1 chromosome 2 complete sequence
CP007782.1 Burkholderia cenocepacia strain DDS 22E-1 chromosome 3 complete sequence
CP009209.1 Burkholderia pseudomallei strain BDP chromosome 1 complete sequence
CP009210.1 Burkholderia pseudomallei strain BDP chromosome 2 complete sequence
CP009148.1 Burkholderia mallei strain FMH 23344 chromosome 1 complete sequence
CP009147.1 Burkholderia mallei strain FMH 23344 chromosome 2 complete sequence
CP007787.1 Burkholderia cepacia strain DDS 7H-2 chromosome 1 complete sequence
CP007786.1 Burkholderia cepacia strain DDS 7H-2 chromosome 2 complete sequence
CP007785.1 Burkholderia cepacia strain DDS 7H-2 chromosome 3 complete sequence
CP009128.1 Burkholderia pseudomallei strain BSR chromosome 1 complete sequence
CP009127.1 Burkholderia pseudomallei strain BSR chromosome 2 complete sequence
CP008711.1 Burkholderia mallei strain 6 chromosome 1 complete sequence
CP008710.1 Burkholderia mallei strain 6 chromosome 2 complete sequence
CP008704.1 Burkholderia mallei strain 23344 chromosome 1 complete sequence
CP008705.1 Burkholderia mallei strain 23344 chromosome 2 complete sequence
CP008723.1 Burkholderia mallei strain BMQ chromosome 1 complete sequence
CP008722.1 Burkholderia mallei strain BMQ chromosome 2 complete sequence
CP008894.1 Burkholderia pseudomallei HBPUB10303a chromosome 1 complete sequence
CP008893.1 Burkholderia pseudomallei HBPUB10303a chromosome 2 complete sequence
CP008911.1 Burkholderia pseudomallei HBPUB10134a chromosome 1 complete sequence
CP008912.1 Burkholderia pseudomallei HBPUB10134a chromosome 2 complete sequence
CP008891.1 Burkholderia pseudomallei MSHR5858 chromosome 2 complete sequence
CP008892.1 Burkholderia pseudomallei MSHR5858 chromosome 1 complete sequence
CP008909.1 Burkholderia pseudomallei MSHR5848 chromosome 1 complete sequence
CP008910.1 Burkholderia pseudomallei MSHR5848 chromosome 2 complete sequence
CP008726.1 Burkholderia oklahomensis strain EO147 chromosome 1 complete sequence
CP008727.1 Burkholderia oklahomensis strain EO147 chromosome 2 complete sequence
CP008730.1 Burkholderia multivorans strain DDS 15A-1 chromosome 1 complete sequence
CP008729.1 Burkholderia multivorans strain DDS 15A-1 chromosome 2 complete sequence
CP008728.1 Burkholderia multivorans strain DDS 15A-1 chromosome 3 complete sequence
CP008732.2 Burkholderia mallei strain 2000031063 chromosome 1 complete sequence
CP008731.2 Burkholderia mallei strain 2000031063 chromosome 2 complete sequence
CP008784.1 Burkholderia pseudomallei MSHR5855 chromosome 1 complete sequence
CP008783.1 Burkholderia pseudomallei MSHR5855 chromosome 2 complete sequence
CP008834.1 Burkholderia pseudomallei strain BGR chromosome 1 complete sequence
CP008835.1 Burkholderia pseudomallei strain BGR chromosome 2 complete sequence
CP008781.1 Burkholderia pseudomallei strain Mahidol-1106a chromosome 1 complete sequence
CP008782.1 Burkholderia pseudomallei strain Mahidol-1106a chromosome 2 complete sequence
CP008758.1 Burkholderia pseudomallei strain 1106a chromosome 1 complete sequence
CP008759.1 Burkholderia pseudomallei strain 1106a chromosome 2 complete sequence
